0,say,"Design: Crossed lines over the toytown tram: City transport could soon be back on the right track, says Jonathan Glancey",17,0,"[['none&Jonathan', 'none&Glancey'], [['Money'], ['Transport by water'], ['Transport by bus and train', 'Sports: other sports', 'Transport by car or lorry', 'Hobbies', 'Music', 'Success', 'Success', 'Feelings']]]"
1,know,"MODERN trams, as most continental Europeans know, neither shake nor rattle, nor do they roll.",6,0,"[[['People in society']], [['History', 'Buildings'], ['Transport by car or lorry']]]"
2,shake,"MODERN trams, as most continental Europeans know, neither shake nor rattle, nor do they roll.",8,0,"[[['History', 'Buildings'], ['Transport by car or lorry']], ['none']]"
3,roll,"MODERN trams, as most continental Europeans know, neither shake nor rattle, nor do they roll.",14,0,"[[['Transport by car or lorry']], ['none']]"
4,build,"Sleek, solidly built, gentle on the environment, they are often an ideal form of city transport.",2,0,"[[['people', 'Animals']], ['none']]"
5,exert,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates, flashing arcs of lightning as they switch tracks on winter nights.",2,1,"[[['people', 'Animals']], [['Feelings']]]"
6,slither,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates, flashing arcs of lightning as they switch tracks on winter nights.",12,1,"[[['people', 'Animals']], [['Feelings']]]"
7,flash,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates, flashing arcs of lightning as they switch tracks on winter nights.",21,0,"[[['people', 'Animals']], [['Maths and measurement', 'Colours and Shapes', 'Literature and writing']]]"
8,switch,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates, flashing arcs of lightning as they switch tracks on winter nights.",27,0,"[[['people', 'Animals']], [['Transport by bus and train', 'Sports: other sports', 'Transport by car or lorry', 'Hobbies', 'Music', 'Success', 'Success', 'Feelings']]]"
9,invent,"Single-car, articulated or double-decker, trams are one of the most reliable and enduring forms of public transport invented.",17,0,"[[['Transport by water']], [['Transport by car or lorry']]]"
10,replace,"Eventually they will be replaced, but more than 60 years on they run with the rhythmic reliability of a Swiss watch.",4,0,"[[['people', 'Animals']], ['none&']]"
11,run,"Eventually they will be replaced, but more than 60 years on they run with the rhythmic reliability of a Swiss watch.",12,1,"[[['people', 'Animals']], ['none&']]"
12,announce,Last month it was announced that Britain will get its first new-wave trams in 1991.,4,0,"[['none&it'], ['none&Britain']]"
13,get,Last month it was announced that Britain will get its first new-wave trams in 1991.,8,1,"[['none&Britain'], [['Transport by car or lorry']]]"
14,destine,"Destined to run in Manchester, they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre, outlying suburbs and satellite towns of Bury, Altrincham, Salford, Oldham and Rochdale.",0,1,"[[['people', 'Animals']], [['Transport by car or lorry'], 'none&congestion', ['Houses and homes', 'Games and toys', 'Success']]]"
15,run,"Destined to run in Manchester, they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre, outlying suburbs and satellite towns of Bury, Altrincham, Salford, Oldham and Rochdale.",2,1,"[[['people', 'Animals']], [['Transport by car or lorry'], 'none&congestion']]"
16,relieve,"Destined to run in Manchester, they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre, outlying suburbs and satellite towns of Bury, Altrincham, Salford, Oldham and Rochdale.",7,1,"[[['people', 'Animals']], [['Transport by car or lorry'], 'none&congestion']]"
17,reduce,"Destined to run in Manchester, they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre, outlying suburbs and satellite towns of Bury, Altrincham, Salford, Oldham and Rochdale.",13,1,"[[['people', 'Animals']], [['Houses and homes', 'Games and toys', 'Success'], ['Physics and chemistry', 'The environment'], ['The environment', 'Physics and chemistry']]]"
18,forget,"In Britain, with the main exception of Blackpool( not forgetting the single-deckers of the Isle of Man and Llandudno), trams had been largely relegated to the history books.",9,0,"[[['Permission and obligation', 'Permission and obligation'], 'none&Blackpool'], [['Transport by bus and train'], 'none&Isle', ['Life stages', 'People in society', 'Personal qualities', 'Discussion and agreement', 'Opinion and argument', 'Danger', 'Success']]]"
19,relegate,"In Britain, with the main exception of Blackpool( not forgetting the single-deckers of the Isle of Man and Llandudno), trams had been largely relegated to the history books.",23,0,"[[['Transport by car or lorry']], [['History', 'History', 'Education', 'History', 'Phones, email and the internet', 'History', 'History'], ['Literature and writing', 'Education', 'Shopping', 'Education', 'Business', 'Opinion and argument', 'History', 'Opinion and argument']]]"
20,see,"Otherwise, the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies.",5,0,"[[['Education', 'Maths and measurement', 'Success', 'Suggestions and advice', 'Opinion and argument', 'Healthcare', 'The environment'], ['Transport by car or lorry']], [['Transport by car or lorry']]]"
21,work,"Otherwise, the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies.",6,1,"[[['Transport by car or lorry']], ['none&']]"
22,disappear,Trams disappeared from most British cities in the 1950s.,1,0,"[[['Transport by car or lorry']], ['none']]"
23,rumble,London's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952.,6,0,"[['none&London', ['Transport by bus and train']], ['none&Thames', ['Transport by bus and train', 'Transport by car or lorry']]]"
24,growl,"Somehow the image of the tall, thin, mournful double-deck tram with its wooden body, slatted wooden seats and growling electric motor has stuck in the British mind.",18,1,"[['none&', ['Engineering', 'Transport by car or lorry']], ['none&']]"
25,stick,"Somehow the image of the tall, thin, mournful double-deck tram with its wooden body, slatted wooden seats and growling electric motor has stuck in the British mind.",22,1,"[[['Literature and writing'], ['Appearance', 'Success', 'Personal qualities', 'Feelings', 'Personal qualities'], ['Transport by car or lorry']], [['Opinion and argument', 'Feelings', 'Preferences and decisions', 'Opinion and argument', 'Opinion and argument', 'Doubt, guessing and certainty', 'Opinion and argument', 'Success', 'Opinion and argument']]]"
26,believe,"Trams, it was believed until surprisingly recently, are old-fashioned.",3,0,"[['none&it'], [['Transport by car or lorry']]]"
27,wrap,"They had something to do with fish and chips wrapped in newspaper, men in hats, National Health specs, smog and powdered egg.",9,0,"[[['Food', 'Computers', 'Money', 'Sports: ball and racket sports']], [['TV, radio and news']]]"
28,hold,"They held up the bright new diesel buses and, even worse, blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares.",1,1,"[[['people', 'Animals']], [['Transport by car or lorry', 'Transport by car or lorry'], ['Transport by car or lorry', 'Transport by bus and train', 'Computers']]]"
29,block,"They held up the bright new diesel buses and, even worse, blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares.",11,1,"[[['people', 'Animals']], [['Success'], ['Transport by car or lorry'], 'none&Austins']]"
30,pick,They picked up power from a spider's web of unsightly overhead wires.,1,1,"[[['people', 'Animals']], [['Politics', 'The environment', 'Politics', 'Maths and measurement']]]"
