0,betroth,"[['Life stages', 'Family and relationships'], 'King/Queen', ['Family and relationships', 'Life stages', 'Family and relationships', 'Family and relationships', 'Animals'], ['Life stages'], ['Family and relationships']]","[['Family and relationships'], ['Family and relationships'], 'Heires', ['People in society', 'People in society', 'People in society'], 'Noblewoman']"
1,regain,"[['Sports: other sports', 'Sports: other sports', 'Health and Fitness'], ['Healthcare'], ['War and conflict', 'Jobs'], ['Education', 'Education'], ['Games and toys', 'Sports: ball and racket sports', 'Farming'], ['Geography', 'Music'], 'people', ['Art', 'Jobs', 'Music'], ['Music', 'Jobs'], ['Film and theatre', 'Jobs']]","[['Health and Fitness', 'Personal qualities', 'Success'], ['Doubt, guessing and certainty', 'Personal qualities', 'Doubt, guessing and certainty'], ['Scientific research', 'Computers'], ['Politics', 'The environment', 'Politics', 'Maths and measurement'], ['Health and Fitness', 'Success', 'Success'], ['Physics and chemistry'], ['Money', 'Money', 'Opinion and argument', 'Feelings'], ['Success', 'Opinion and argument'], 'Popularity', ['People in society', 'People in society', 'People in society']]"
2,cup,"[['Language', 'Crime and punishment'], ['Animals'], ['Plants and trees', 'Business'], ['Language']]","[['Cooking and eating', 'Physics and chemistry'], ['Cooking and eating'], ['Language']]"
3,misunderstand,"[['Language', 'Crime and punishment'], ['Education', 'Education'], ['Life stages', 'Life stages'], ['Holidays'], ['Working life'], 'Colleague', ['Family and relationships', 'Phones, email and the internet', 'Social issues'], 'member', ['Education', 'Jobs'], ['Scientific research', 'Jobs']]","[['Language', 'Language', 'Language', 'Computers', 'Opinion and argument'], ['Computers'], ['Film and theatre'], 'Explanation', 'Concept', ['Suggestions and advice', 'Opinion and argument', 'Success'], 'Joke', ['Personal qualities', 'Language'], 'norm', ['Social issues', 'People in society']]"
4,defend,"[['War and conflict', 'Jobs'], ['Law and justice', 'Jobs'], ['Sports: other sports', 'Sports: other sports', 'Health and Fitness'], ['Life stages', 'Family and relationships'], ['Politics']]","[['Opinion and argument', 'Success'], ['Opinion and argument'], ['Opinion and argument', 'Working life'], 'Freedom', ['Feelings', 'Personal qualities', 'Education', 'Permission and obligation']]"
5,fine,"[['Law and justice'], ['Preferences and decisions', 'Law and justice', 'Jobs', 'Opinion and argument'], ['Money', 'Shopping'], ['Buildings', 'Education', 'Education', 'Education', 'Art', 'Fish and shellfish']]","[['Transport by car or lorry', 'Jobs', 'Sports: ball and racket sports', 'Computers'], ['Opinion and argument'], 'people', ['Education', 'Education']]"
6,vanish,"['towel', ['Money', 'Clothes and Fashion'], ['Buildings', 'Cooking and eating', 'Clothes and Fashion'], ['Computers', 'Music'], ['Phones, email and the internet', 'Phones, email and the internet', 'Phones, email and the internet']]","[['The environment', 'Social issues', 'Difficulty and failure'], ['Colours and Shapes', 'People in society', 'Transport by water', 'People in society'], ['Weather'], ['Physics and chemistry', 'Houses and homes', 'Crime and punishment', 'Transport by car or lorry'], ['Film and theatre']]"
7,shave,"[['Life stages', 'People in society', 'Personal qualities', 'Discussion and agreement', 'Opinion and argument', 'Danger', 'Success'], ['Life stages', 'People in society', 'Opinion and argument'], ['Life stages', 'Life stages'], ['Appearance', 'Jobs', 'Shopping', 'Appearance'], ['Appearance', 'Jobs', 'Shopping'], ['Sports: other sports', 'Sports: other sports', 'Health and Fitness'], ['Clothes and Fashion', 'Jobs'], ['Film and theatre', 'Jobs'], 'Actres', ['Appearance']]","[['Appearance'], 'Mustache', ['Body', 'Jobs', 'People in society', 'Education', 'Preferences and decisions', 'Geography', 'Opinion and argument', 'Difficulty and failure', 'Personal qualities', 'Money', 'Feelings', 'Doubt, guessing and certainty', 'Success'], ['Body', 'Clothes and Fashion', 'Sports: other sports'], ['Body'], ['Body', 'Houses and homes'], ['Body', 'Doubt, guessing and certainty', 'Difficulty and failure', 'Appearance', 'Feelings', 'Difficulty and failure', 'Danger', 'Difficulty and failure', 'Opinion and argument', 'Appearance'], ['Clothes and Fashion'], ['Body', 'Engineering', 'Difficulty and failure', 'Discussion and agreement'], 'Pubic']"
8,cadge,"[['Language', 'Crime and punishment'], ['Animals']]","[['Cooking and eating'], ['Money', 'Opinion and argument', 'Sports: other sports', 'Doubt, guessing and certainty', 'Success']]"
9,plaster,"[['Jobs'], ['Healthcare', 'Jobs', 'Education'], ['Healthcare', 'Jobs'], 'Builder', ['Buildings', 'Buildings', 'Buildings']]","[['Buildings', 'Houses and homes', 'Buildings', 'Biology', 'Difficulty and failure', 'Difficulty and failure', 'Business', 'Difficulty and failure'], ['Houses and homes'], ['Houses and homes', 'Buildings', 'Holidays', 'Houses and homes', 'Buildings', 'Opinion and argument'], ['Houses and homes', 'Holidays'], ['Buildings', 'Buildings']]"
